4.616	0.723	0.760
5.554	0.734	1.207
-0.189	0.730	1.894
4.459	0.761	2.620
7.467	0.770	2.104
6.507	0.782	1.889
6.137	0.801	1.862
5.386	0.874	1.340
3.474	0.878	3.566
-2.319	0.900	2.123
0.434	0.903	1.851
-0.501	0.927	3.306
3.718	0.921	3.211
1.330	0.937	3.094
6.821	0.995	2.100
6.576	0.994	3.910
7.501	1.041	3.704
8.466	1.087	2.907
9.097	1.139	5.071
11.121	1.170	5.510
5.486	1.195	7.745
2.615	1.187	10.768
7.617	1.232	10.487
2.446	1.187	11.098
2.515	1.180	10.920
4.291	1.230	9.581
6.730	1.303	4.999
-6.416	1.184	4.922
-1.413	1.134	6.906
-5.038	1.076	9.224
3.179	1.094	8.924
5.661	1.115	8.286
5.402	1.155	7.288
1.620	1.152	6.348
-1.796	1.112	4.936
1.488	1.117	2.727
-5.781	1.041	3.544
-0.345	1.032	4.638
-1.776	1.007	4.755
3.669	1.032	4.747
4.530	1.059	5.541
2.769	1.062	4.956
7.599	1.070	6.071
1.446	1.066	9.828
-1.688	1.041	10.218
-1.535	0.999	9.753
2.488	0.995	10.500
-0.175	0.982	10.406
1.711	0.970	14.021
-0.001	0.956	11.755
4.683	0.965	11.747
2.203	0.963	12.690
2.947	0.964	12.376
4.967	0.987	13.256
3.895	0.999	15.075
-1.336	0.970	21.417
6.196	1.006	21.107
3.068	1.000	15.397
1.042	0.984	15.639
2.135	0.979	17.079
-0.350	0.949	16.356
-4.379	0.904	12.712
-4.068	0.869	9.068
0.515	0.866	7.379
