124.03		100.00		100.00
319.90		102.62		96.13
122.12		107.55		94.88
7.73		106.28		95.17
169.87		104.32		91.90
681.60		102.53		88.78
854.34		107.18		93.62
352.07		105.53		92.98
516.62		106.99		98.55
2995.82		109.27		100.05
207.57		106.03		98.01
5920.55		103.73		91.52
241.56		102.54		92.90
470.95		103.43		93.29
1580.98		116.46		107.47
151.85		111.66		102.78
103.56		110.28		103.17
129.27		111.28		102.84
592.34		115.93		107.66
848.24		115.08		109.04
334.93		113.58		108.89
546.90		113.25		102.93
704.65		113.98		110.76
4136.94		111.87		96.75
-103.17		107.67		97.86
2737.74		108.16		94.00
1552.31		120.04		105.81
-96.68		116.85		102.03
757.04		115.30		106.89
948.48		115.96		109.28
831.40		117.68		105.60
480.59		119.76		113.38
1662.82		115.39		109.43
2907.85		115.79		104.74
734.68		116.20		108.12
6382.88		115.70		105.58
3597.57		112.90		104.55
731.90		112.12		101.92
-414.86		123.86		117.39
205.03		117.12		103.46
868.42		121.88		115.04
726.84		118.98		111.17
1325.56		124.19		114.68
22.70		125.91		118.82
-1028.71		120.86		113.81
965.58		124.11		117.33
923.88		123.42		117.26
7019.29		120.96		111.40
297.32		119.39		113.69
492.80		117.87		109.79
621.40		130.12		123.70
442.54		125.11		117.17
885.31		128.86		129.11
1168.74		127.28		124.38
360.19		132.97		131.30
1095.11		134.22		138.96
568.11		128.17		126.47
1818.62		134.34		136.68
3800.72		130.92		131.97
3676.04		127.33		124.58
447.22		126.74		129.75
222.78		126.79		125.89
407.15		134.15		133.30
620.87		134.66		136.32
218.49		134.08		140.85
497.65		135.82		144.03
2102.59		142.00		155.77
-3056.74		139.23		158.39
387.19		137.91		153.80
1365.04		138.12		160.31
1290.82		129.57		134.76
1617.55		123.66		119.89
1381.67		119.81		115.25
240.32		119.88		109.52
-3183.69		132.93		127.25
785.76		128.02		122.24
528.54		129.39		130.57
-2891.81		130.64		133.49
1073.50		136.70		144.62
1278.90		135.93		150.79
1233.48		135.01		154.50
2247.75		137.78		160.32
720.21		134.81		157.53
639.60		134.40		150.84
1357.16		130.85		144.93
855.91		132.72		143.26
1411.24		149.18		165.92
650.33		142.35		152.21
699.78		141.99		161.16
1086.98		141.54		161.48
359.99		147.31		166.49
213.33		147.22		175.27
475.52		145.04		176.81
1593.19		144.91		169.89
-324.78		145.27		173.57
-230.04		142.16		161.76
2234.99		137.97		155.16
-519.14		141.63		164.38
814.95		150.73		171.93
446.03		145.49		161.66
418.26		148.97		179.93
1751.42		147.43		171.87
1602.01		151.00		178.94
327.77		153.42		189.28
217.51		148.00		180.22
2252.64		147.71		178.65
391.13		147.55		181.35
812.04		144.80		172.82
4440.59		138.68		163.61
129.96		140.77		164.94
565.48		152.21		178.37
2650.60		145.45		167.35
632.77		150.35		181.45
487.62		147.98		170.38
527.21		153.36		177.32
-607.90		155.91		187.83
-148.39		147.27		175.14
1106.06		153.62		188.48
648.92		149.92		180.15
287.81		145.11		167.43
785.75		144.90		172.31
755.91		141.59		168.28
1278.23		153.94		181.30
1783.28		155.79		191.98
-18.14		152.92		188.99
1063.38		150.67		182.29
177.56		158.22		188.39
-30.64		157.89		197.05
326.25		153.17		194.56
917.25		157.98		203.11
597.13		153.71		189.87
279.09		151.61		166.85
1123.97		148.43		182.99
-213.03		149.28		180.94
251.10		155.00		179.67
1360.90		153.60		178.54
601.77		153.03		182.82
339.02		146.52		165.85
490.70		155.85		174.73
277.16		154.21		178.62
449.25		154.05		183.45
570.10		155.69		189.80
404.04		150.72		177.49
199.90		151.31		156.07
928.00		144.68		164.35
663.97		142.29		156.39
87.88		155.99		171.63
4157.88		148.37		157.12
497.81		145.74		158.16
3986.09		144.58		147.37
8150.66		149.34		155.75
966.17		146.79		152.49
820.29		144.10		148.46
933.17		146.06		153.22
294.11		141.62		146.24
41410.20		141.86		122.61
13192.52		133.50		133.71
767.29		136.04		128.17
138.47		146.13		138.02
72.20		141.46		131.79
211.46		138.99		134.20
170.38		140.73		146.94
10194.62		142.06		133.63
-23.03		143.71		139.26
326.07		139.38		135.46
-147.23		137.99		136.03
201.96		137.65		130.14
382.83		138.69		124.01
9869.22		133.80		124.07
-81.40		134.83		123.06
8.51		147.99		132.45
107.86		139.19		120.34
174.71		141.60		132.16
234.69		140.55		129.59
8095.92		144.01		129.16
332.72		145.88		140.31
163.43		140.53		134.96
420.53		141.53		140.68
343.15		140.71		137.23
158.16		141.48		126.12
6512.02		137.58		127.18
202.56		135.31		126.07
398.05		147.60		135.39
99.02		144.77		134.51
196.69		137.73		124.65
303.97		142.78		132.94
4893.12		146.90		148.51
389.30		149.35		149.33
467.42		141.54		137.57
562.30		145.62		149.82
449.22		143.36		141.89
1614.10		141.98		123.63
4811.72		139.23		129.26
53.11		138.86		132.97
204.42		144.09		130.65
-20.04		144.40		135.56
71.62		144.79		144.55
442.32		140.56		133.36
4288.69		148.62		148.52
111.53		147.93		150.81
115.43		144.31		148.57
58.29		148.84		152.09
49.59		144.85		139.33
803.93		143.86		122.45
2826.94		139.42		139.50
236.32		139.59		140.37
124.69		141.44		129.79
16953.49		122.61		91.06
