92.56	73.44	82.55
101.03	85.53	92.92
108.94	98.07	103.25
105.68	94.02	99.58
106.01	100.78	103.27
102.22	99.29	100.69
111.60	107.70	109.56
111.22	100.88	105.81
106.96	94.43	100.41
107.34	103.31	105.24
106.28	102.02	104.05
103.94	109.80	107.01
104.20	80.69	92.40
107.00	104.15	105.36
115.20	109.91	112.34
118.46	113.29	115.66
114.97	99.57	107.15
112.39	114.59	113.23
117.31	120.30	118.52
115.94	105.38	110.49
117.45	110.25	113.65
116.95	110.36	113.45
113.17	102.18	107.52
109.34	104.69	106.81
108.63	96.66	102.56
108.53	89.86	99.24
119.26	119.73	119.14
119.16	110.89	114.83
120.29	111.21	115.58
116.05	110.03	112.82
120.41	113.82	116.89
118.52	97.91	108.27
115.48	111.78	113.36
113.21	104.73	108.80
115.44	96.12	105.82
109.58	84.29	97.11
106.62	81.15	94.31
107.74	82.13	95.36
114.77	93.40	104.32
111.52	80.59	96.66
115.24	90.25	103.12
114.21	101.43	107.76
113.70	85.09	99.90
114.40	85.98	100.69
113.32	84.66	99.50
111.41	86.72	99.44
106.64	93.27	99.95
103.05	90.47	96.74
104.77	73.00	89.38
108.11	92.11	100.30
113.65	92.64	103.43
113.27	89.43	101.68
120.21	99.53	110.13
116.83	98.14	107.71
111.07	98.97	105.13
114.15	106.95	110.56
110.62	98.77	104.80
113.33	97.12	105.41
113.23	106.03	109.64
115.67	98.41	107.24
112.69	99.74	105.84
109.82	94.91	102.34
120.68	111.26	114.92
115.72	96.48	106.58
119.99	107.43	113.13
115.38	96.38	106.33
116.28	102.57	109.09
118.97	108.02	112.71
110.31	94.53	102.50
112.25	100.72	105.91
107.64	94.45	100.80
100.04	81.89	91.60
103.49	87.92	95.83
100.49	87.46	93.85
118.99	94.90	107.83
116.07	100.18	108.07
113.79	95.32	104.85
111.08	84.71	99.19
119.15	104.40	111.54
116.10	94.05	105.77
116.53	92.79	105.55
120.37	96.90	109.42
118.21	93.79	106.94
123.58	79.13	104.61
113.85	90.56	103.08
111.05	93.94	102.69
110.57	90.30	101.01
110.50	90.41	101.01
106.55	85.40	96.72
104.04	79.77	93.06
107.30	89.20	98.62
108.02	86.12	97.88
108.73	101.33	104.12
109.34	109.90	107.76
110.52	102.01	105.46
102.28	79.93	92.06
111.68	85.75	99.70
111.49	85.00	99.28
117.06	104.73	110.60
114.47	103.43	108.57
114.58	104.21	108.96
114.82	101.55	108.00
118.68	111.97	114.51
122.74	108.85	115.57
119.12	108.03	113.15
119.67	106.82	112.96
