83.9000	60.9200
85.4900	63.2400
83.9500	61.8600
83.1500	65.1900
83.6100	68.9300
82.7800	59.8900
82.4100	72.6100
83.5600	63.1900
84.7000	75.0000
84.8100	79.3300
85.2200	72.8100
85.2200	68.1700
85.6400	70.0000
87.5600	61.3400
87.6700	88.6800
89.6400	70.7600
88.8700	71.9300
92.8700	82.3800
90.4100	84.1600
90.5300	87.0900
91.8600	89.0800
93.7800	83.1100
92.5100	90.3300
92.2800	83.7000
94.6700	79.1000
95.1800	70.0000
94.4800	85.4500
98.6200	77.4300
95.8700	85.9900
97.6000	90.8300
96.8800	88.3300
96.2300	103.4600
96.9000	86.6000
98.1500	83.9600
97.0000	92.4600
97.0600	86.9100
96.7800	91.1800
96.2900	82.5900
99.6100	101.8600
100.3100	89.2300
101.4300	95.4900
100.6600	94.2200
100.6900	107.0900
100.4600	118.5100
99.8600	107.0800
100.7400	114.7800
101.4000	105.6100
101.7600	92.3500
101.8100	109.2700
102.6900	95.5300
103.4200	122.5500
106.3600	104.1700
107.6200	120.5700
109.1500	112.2600
110.8400	124.0600
112.7500	135.9600
113.0100	118.3700
112.4900	141.3000
114.4800	129.5300
114.9800	111.6000
116.9600	144.0800
121.0300	129.9300
125.3600	116.5100
130.1900	119.8200
127.0600	148.5000
132.7400	147.0800
135.9400	156.6400
135.6100	152.4200
138.5300	155.6600
136.7300	157.8200
134.4100	128.7200
126.0600	105.3700
126.5500	100.6500
124.8100	79.2400
120.2600	98.8000
117.1800	88.0200
118.5900	95.4800
119.2400	104.1800
120.2800	117.6900
119.8700	117.5600
119.9500	130.6600
119.4000	134.7100
116.7500	127.6100
117.6300	119.5300
118.5000	126.7900
120.1800	124.8100
118.4900	160.7200
122.7600	138.9900
122.5300	143.5600
121.5400	147.4000
121.5600	165.3600
123.8900	166.5100
122.6200	173.1900
123.3200	165.7400
123.8700	166.3600
125.7700	150.1000
128.1800	147.4100
131.0300	141.8800
134.7600	159.7400
140.4900	151.5600
141.0700	168.2100
139.7200	165.9900
141.3700	168.1800
142.8100	189.7600
139.7300	173.6500
138.8800	163.8100
139.5100	168.8600
139.2500	147.4900
138.2000	152.0000
137.1500	140.8100
140.2900	159.0300
142.5400	148.0300
140.2300	166.8500
139.2000	153.1400
137.7700	160.4100
136.7600	184.5100
137.4600	155.4700
136.2800	184.0600
137.0300	162.2700
137.1000	148.3500
135.2700	168.4000
137.8000	140.0900
138.6600	163.4700
139.9200	176.8900
139.5700	175.4100
137.6300	167.0600
135.0800	189.6200
133.2200	195.5200
133.5600	179.8000
134.4800	201.6600
134.7000	175.5600
133.0600	152.9000
130.6900	182.4700
131.7200	159.6800
136.0700	162.6500
135.0300	169.7000
133.2900	184.6500
134.6200	154.9300
133.8000	185.3800
133.4600	181.1000
131.5300	183.3100
132.7200	183.3100
133.3800	162.0100
130.8200	145.6700
127.8100	163.2800
126.6200	144.1300
123.4500	170.6100
128.9400	144.0300
127.2300	140.8700
125.9800	147.6400
124.2200	162.0300
123.6400	134.0800
123.2500	139.1800
122.0100	140.6300
120.4000	129.9100
121.8900	103.5200
118.1700	108.3800
115.7100	112.1000
115.5100	130.4300
116.8400	119.8000
114.4800	132.5700
114.4500	136.6000
114.4600	138.6300
113.9800	158.1800
114.4300	146.1700
113.3800	137.9000
114.2600	138.2800
114.2400	133.0300
114.6000	151.2200
116.0900	123.2100
117.0900	148.8300
120.3700	121.9700
120.2400	134.3200
119.3300	142.1800
118.6500	142.9600
118.5900	159.5100



